Year;Month;Day;Hour;Minute;Temperature 2018  [2 m above gnd];Relative Humidity 2018  [2 m above gnd];Mean Sea Level Pressure 2018  [MSL];Total Precipitation 2018  [sfc];Snowfall amount raw 2018  [sfc];Total Cloud Cover 2018  [sfc];High Cloud Cover 2018  [high cld lay];Medium Cloud Cover 2018  [mid cld lay];Low Cloud Cover 2018  [low cld lay];Sunshine Duration 2018  [sfc];Shortwave Radiation 2018  [sfc];Wind Speed 2018  [10 m above gnd];Wind Speed 2018  [80 m above gnd];Wind Speed 2018  [900 mb];Wind Gust 2018  [sfc];Temperature 2017  [2 m above gnd];Relative Humidity 2017  [2 m above gnd];Mean Sea Level Pressure 2017  [MSL];Total Precipitation 2017  [sfc];Snowfall amount raw 2017  [sfc];Total Cloud Cover 2017  [sfc];High Cloud Cover 2017  [high cld lay];Medium Cloud Cover 2017  [mid cld lay];Low Cloud Cover 2017  [low cld lay];Sunshine Duration 2017  [sfc];Shortwave Radiation 2017  [sfc];Wind Speed 2017  [10 m above gnd];Wind Speed 2017  [80 m above gnd];Wind Speed 2017  [900 mb];Wind Gust 2017  [sfc];Temperature 2016  [2 m above gnd];Relative Humidity 2016  [2 m above gnd];Mean Sea Level Pressure 2016  [MSL];Total Precipitation 2016  [sfc];Snowfall amount raw 2016  [sfc];Total Cloud Cover 2016  [sfc];High Cloud Cover 2016  [high cld lay];Medium Cloud Cover 2016  [mid cld lay];Low Cloud Cover 2016  [low cld lay];Sunshine Duration 2016  [sfc];Shortwave Radiation 2016  [sfc];Wind Speed 2016  [10 m above gnd];Wind Speed 2016  [80 m above gnd];Wind Speed 2016  [900 mb];Wind Gust 2016  [sfc]
2018;01;05;01;00;11.17;77.00;1004.90;0.10;0.00;100.00;35.00;0.00;100.00;0.00;0.00;29.83;39.96;79.84;43.92;1.40;82.00;1023.90;0.00;0.00;100.00;0.00;0.00;100.00;0.00;0.00;25.96;34.51;65.48;40.32;3.39;84.00;995.40;0.00;0.00;100.00;0.00;100.00;88.00;0.00;0.00;11.30;12.74;32.43;17.64
2018;01;05;02;00;10.84;77.00;1005.70;1.00;0.00;100.00;23.00;0.00;100.00;0.00;0.00;29.18;39.22;76.72;41.40;1.40;81.00;1024.50;0.10;0.00;100.00;0.00;0.00;100.00;0.00;0.00;24.27;30.97;64.75;34.92;3.41;91.00;995.10;0.00;0.00;100.00;0.00;100.00;100.00;0.00;0.00;10.14;12.22;25.84;24.12
2018;01;05;03;00;10.14;81.00;1006.10;1.10;0.00;100.00;24.00;0.00;100.00;0.00;0.00;22.86;31.21;67.60;37.80;1.61;75.00;1024.80;0.10;0.00;100.00;0.00;0.00;100.00;0.00;0.00;23.23;28.73;62.28;34.56;3.57;94.00;994.80;0.00;0.00;100.00;0.00;100.00;100.00;0.00;0.00;8.56;9.00;22.37;10.80
2018;01;05;04;00;9.90;83.00;1005.60;0.10;0.00;100.00;0.00;0.00;100.00;0.00;0.00;15.54;23.40;60.44;29.52;0.94;80.00;1026.50;0.00;0.00;45.00;0.00;0.00;45.00;0.00;0.00;16.98;23.51;56.33;30.24;3.61;95.00;994.40;0.40;0.00;100.00;0.00;100.00;100.00;0.00;0.00;6.92;10.81;17.23;8.64
2018;01;05;05;00;9.92;82.00;1005.10;0.10;0.00;100.00;0.00;47.00;100.00;0.00;0.00;16.28;24.25;59.94;29.88;-0.21;83.00;1027.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;12.82;21.75;57.96;27.00;4.96;92.00;994.80;1.70;0.00;100.00;0.00;100.00;100.00;0.00;0.00;11.50;17.21;32.07;20.52
2018;01;05;06;00;9.07;82.00;1005.00;0.00;0.00;82.00;38.00;82.00;0.00;0.00;0.00;12.10;21.87;59.52;29.16;-0.87;86.00;1027.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;9.59;15.38;65.35;26.64;4.73;90.00;995.70;1.70;0.00;100.00;0.00;100.00;100.00;0.00;0.00;12.98;19.35;39.56;24.12
2018;01;05;07;00;8.76;83.00;1005.00;0.00;0.00;19.00;12.00;19.00;0.00;0.00;0.00;11.49;22.07;67.94;28.08;-0.95;83.00;1029.30;0.00;0.00;100.00;0.00;0.00;100.00;0.00;0.00;9.69;11.46;62.22;27.00;5.20;86.00;996.40;0.70;0.00;100.00;0.00;100.00;21.00;0.00;0.00;16.87;26.41;46.61;27.36
2018;01;05;08;00;9.52;81.00;1003.90;0.00;0.00;100.00;13.00;100.00;0.00;0.00;0.00;15.46;26.58;70.84;30.60;-0.92;78.00;1029.80;0.00;0.00;100.00;0.00;0.00;100.00;0.00;0.00;12.43;12.77;53.98;25.20;4.34;86.00;996.20;0.00;0.00;11.00;0.00;11.00;0.00;34.00;0.00;11.30;20.87;40.19;22.32
2018;01;05;09;00;9.72;80.00;1003.60;0.00;0.00;16.00;14.00;16.00;0.00;49.79;23.14;14.12;23.57;70.68;29.88;-0.61;78.00;1031.30;0.00;0.00;80.00;0.00;0.00;80.00;8.94;22.25;12.82;13.18;41.10;21.24;4.75;84.00;996.20;0.00;0.00;82.00;0.00;82.00;0.00;7.66;23.14;9.20;16.32;46.33;20.88
2018;01;05;10;00;11.39;76.00;1003.80;0.00;0.00;100.00;6.00;100.00;39.00;0.00;135.28;18.39;25.67;62.84;30.96;-0.44;80.00;1032.40;0.00;0.00;33.00;0.00;0.00;33.00;38.94;144.18;12.29;12.29;34.62;17.64;6.56;77.00;996.90;0.00;0.00;6.00;0.00;0.00;6.00;56.17;139.73;12.98;15.82;45.26;22.32
